"country","surveyid","xprg","group","grouplabel","xdes","xfrt","xsid","xwme","xmet","xoth","xany","xswh","denom","order","zzmodern","zztraditional","year","type","maxyear","nummethods","nummodern","numtraditional","Discontinuation","DiscontinuationNotInNeed","DiscontinuationFailure","DiscontinuationInNeed","MaleSterilization","FemaleSterilization","IUD","Implants","Injectables","Pill","Condom","FemaleCondom","LAM","EC","OtherModern","Rhythm","Withdrawal","OtherTraditional","continue","ifMaleSterilization","ifFemaleSterilization","ifIUD","ifImplants","ifInjectables","ifPill","ifCondom","ifFemaleCondom","ifLAM","ifEC","ifOtherModern","ifRhythm","ifWithdrawal","ifOtherTraditional","test","confirm"
"Afghanistan","AF2015DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,247,2,1,0,2015,"DHS",2015,9,7,2,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,247,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,247,0
"Afghanistan","AF2015DHS",2.5,"Contraceptive method","Pill",11.7,0.3,3.7,0.5,0.7,1.2,20.7,2.3,3467,6,1,0,2015,"DHS",2015,9,7,2,637.9,416,86.7,135.2,0,10,10,0,10,2749.3,10,10,0,0,10,0,10,10,2749.3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3467,0
"Afghanistan","AF2015DHS",0,"Contraceptive method","IUD",1.6,0,6.9,0.2,0,1.7,10.3,0.9,461,3,1,0,2015,"DHS",2015,9,7,2,43.3,7.4,0,36,0,0.5,413.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,413.5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,461,0
"Afghanistan","AF2015DHS",0.3,"Contraceptive method","Injectables",5.5,1.7,7.3,0.4,0.2,1.6,17.1,1.6,1920,5,1,0,2015,"DHS",2015,9,7,2,297.6,138.2,5.8,153.6,0,3.8,3.8,0,1591.7,3.8,3.8,3.8,0,0,3.8,0,3.8,3.8,1591.7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1920,0
"Afghanistan","AF2015DHS",4.3,"Contraceptive method","Condom",8.7,0,0.8,1.1,0.8,2.9,18.6,2.3,1262,7,1,0,2015,"DHS",2015,9,7,2,205.7,109.8,54.3,41.6,0,3.6,3.6,0,3.6,3.6,1027.3,3.6,0,0,3.6,0,3.6,3.6,1027.3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1262,0
"Afghanistan","AF2015DHS",0.3,"Contraceptive method","Lactational amenorrhea",7.8,0.5,0.9,10.6,1.3,76.5,97.9,16.8,990,9,1,0,2015,"DHS",2015,9,7,2,802.9,82.2,3,717.8,0,20.8,20.8,0,20.8,20.8,20.8,20.8,0,0,20.8,0,20.8,20.8,20.8,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,990,0
"Afghanistan","AF2015DHS",16.6,"Contraceptive method","Other modern methods",23.4,0,0,0,0,0,40,0,70,11,1,0,2015,"DHS",2015,9,7,2,28,16.4,11.6,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,42,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,70,0
"Afghanistan","AF2015DHS",3.8,"Contraceptive method","Withdrawal",10.3,0.1,0.2,1.2,1.7,2.8,20,3.1,1017,13,0,1,2015,"DHS",2015,9,7,2,171.9,105.8,38.6,27.5,0,3.9,3.9,0,3.9,3.9,3.9,3.9,0,0,3.9,0,813.6,3.9,813.6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1017,0
"Afghanistan","AF2015DHS",15,"Contraceptive method","Other traditional methods",17.6,0,0,1,0,0,33.6,1,92,14,0,1,2015,"DHS",2015,9,7,2,30,16.2,13.8,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,61.1,61.1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,92,0
"Albania","AL2017DHS",0,"Contraceptive method","Condom",5.9,5.2,1.7,0.9,13.8,20.6,48.1,10.4,186,7,1,0,2017,"DHS",2017,3,2,1,70.1,20.6,0,49.5,0,0,0,0,0,0,96.5,0,0,0,9.7,0,9.7,0,96.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,186,0
"Albania","AL2017DHS",0,"Contraceptive method","Other modern methods",0,0,0,0,0,0,0,0,148,11,1,0,2017,"DHS",2017,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,148,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,148,0
"Albania","AL2017DHS",1.5,"Contraceptive method","Withdrawal",6.5,3.2,0.2,0.3,0.5,1.4,13.6,0.7,1906,13,0,1,2017,"DHS",2017,3,2,1,245.9,184.9,28.6,32.4,0,0,0,0,0,0,6.7,0,0,0,6.7,0,1646.8,0,1646.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1906,0
"Armenia","AM2016DHS",0.8,"Contraceptive method","IUD",0.4,0,0.3,0,0,0.5,2,0.5,234,3,1,0,2016,"DHS",2016,6,4,2,3.5,0.9,1.9,0.7,0,0,229.3,0,0,0,0.2,0.2,0,0,0.2,0,0.2,0.2,229.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,234,0
"Armenia","AM2016DHS",3,"Contraceptive method","Condom",4.3,6.2,0.4,0.8,1.1,0.8,16.5,2.3,560,7,1,0,2016,"DHS",2016,6,4,2,79.5,58.8,16.8,3.9,0,0,2.6,0,0,0,467.6,2.6,0,0,2.6,0,2.6,2.6,467.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,560,0
