"CountryName","SurveyId","FP_DISR_W_PRG","CharacteristicCategory","CharacteristicLabel","FP_DISR_W_DES","FP_DISR_W_FRT","FP_DISR_W_SID","FP_DISR_W_WME","FP_DISR_W_MET","FP_DISR_W_OTH","FP_DISR_W_ANY","FP_DISR_W_SWH","FP_DISR_W_NUM"
"Afghanistan","AF2015DHS",2.1,"Total","Total",8.6,0.5,3.5,1.6,0.8,9.2,26.2,3.6,9527
"Afghanistan","AF2015DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,247
"Afghanistan","AF2015DHS",2.5,"Contraceptive method","Pill",11.7,0.3,3.7,0.5,0.7,1.2,20.7,2.3,3467
"Afghanistan","AF2015DHS",0,"Contraceptive method","IUD",1.6,0,6.9,0.2,0,1.7,10.3,0.9,461
"Afghanistan","AF2015DHS",0.3,"Contraceptive method","Injectables",5.5,1.7,7.3,0.4,0.2,1.6,17.1,1.6,1920
"Afghanistan","AF2015DHS",4.3,"Contraceptive method","Condom",8.7,0,0.8,1.1,0.8,2.9,18.6,2.3,1262
"Afghanistan","AF2015DHS",0.3,"Contraceptive method","Lactational amenorrhea",7.8,0.5,0.9,10.6,1.3,76.5,97.9,16.8,990
"Afghanistan","AF2015DHS",16.6,"Contraceptive method","Other modern methods",23.4,0,0,0,0,0,40,0,70
"Afghanistan","AF2015DHS",3.8,"Contraceptive method","Withdrawal",10.3,0.1,0.2,1.2,1.7,2.8,20,3.1,1017
"Afghanistan","AF2015DHS",15,"Contraceptive method","Other traditional methods",17.6,0,0,1,0,0,33.6,1,92
"Albania","AL2017DHS",1.3,"Total","Total",6.4,3.7,0.9,0.4,2.1,3.1,17.7,2,2252
"Albania","AL2017DHS",0,"Contraceptive method","Condom",5.9,5.2,1.7,0.9,13.8,20.6,48.1,10.4,186
"Albania","AL2017DHS",0,"Contraceptive method","Other modern methods",0,0,0,0,0,0,0,0,148
"Albania","AL2017DHS",1.5,"Contraceptive method","Withdrawal",6.5,3.2,0.2,0.3,0.5,1.4,13.6,0.7,1906
